order_item_id,order_id,product_id,quantity,unit_price,revenue,profit
1,1,91,5,256.41,1282.0500000000002,341.45000000000016
2,1,97,4,306.8,1227.2,832.8800000000001
3,1,35,3,45.68,137.04,-414.6
4,2,70,8,336.44,2691.52,1721.3600000000001
5,2,78,1,21.41,21.41,-45.07000000000001
6,3,55,9,341.97,3077.7300000000005,2715.8400000000006
7,3,58,8,241.04,1928.32,1835.36
8,3,25,7,164.53,1151.71,177.02999999999997
9,3,72,7,275.25,1926.75,1727.18
10,4,106,2,36.46,72.92,19.840000000000003
11,5,10,4,263.36,1053.44,302.72
12,5,107,7,127.38,891.66,372.6099999999999
13,6,43,5,265.54,1327.7,516.3000000000001
14,6,8,4,100.35,401.4,10.079999999999984
15,6,91,4,256.41,1025.64,273.1600000000001
16,6,14,2,78.85,157.7,45.41999999999999
17,7,32,9,219.42,1974.78,893.97
18,7,98,4,221.09,884.36,374.92
19,7,49,5,292.13,1460.65,1219.95
20,7,93,7,257.26,1800.82,403.6199999999999
21,8,57,1,197.43,197.43,13.909999999999997
22,8,114,7,349.9,2449.2999999999997,1830.3599999999997
23,9,27,9,281.45,2533.0499999999997,2055.6
24,10,22,7,371.82,2602.74,2465.1899999999996
25,10,31,3,97.29,291.87,117.66
26,11,67,2,341.73,683.46,549.02
27,11,100,1,143.33,143.33,-53.56999999999999
28,11,115,9,389.66,3506.94,2787.48
29,12,38,6,60.51,363.06,-188.75999999999993
30,12,66,3,266.8,800.4000000000001,291.3300000000001
31,13,82,1,299.97,299.97,172.92000000000002
32,14,79,7,332.07,2324.49,1553.0899999999997
33,15,46,8,169.3,1354.4,-10.319999999999936
34,15,11,8,247.02,1976.16,793.3600000000001
35,15,21,3,354.68,1064.04,986.67
36,16,9,3,377.67,1133.01,729.75
37,16,100,2,143.33,286.66,-107.13999999999999
38,16,73,1,251.26,251.26,231.25
39,17,99,7,385.57,2698.99,1471.3999999999996
40,17,44,6,224.83,1348.98,548.22
41,17,114,5,349.9,1749.5,1307.4
42,18,31,6,97.29,583.74,235.32
43,18,33,9,241.25,2171.25,1492.74
44,18,99,9,385.57,3470.13,1891.8000000000002
45,19,4,1,192.29,192.29,117.92999999999999
46,19,28,7,70.02,490.14,-662.9
47,19,58,1,241.04,241.04,229.42
48,19,87,9,12.49,112.41,-1459.62
49,20,65,4,321.0,1284.0,591.6
50,20,103,5,49.98,249.89999999999998,-185.89999999999998
51,21,61,6,274.43,1646.58,535.02
52,21,102,1,373.49,373.49,287.03000000000003
53,21,90,5,392.66,1963.3000000000002,1422.6000000000001
54,21,63,5,114.14,570.7,-374.94999999999993
55,22,46,3,169.3,507.90000000000003,-3.8699999999999477
